=== LANE MASK DEBUG LOG — started 2026-04-12 12:28:07 ===
Legend:
  raw      : masks from YOLO (before any classification fix)
  prep     : after _prepare_local_ai_side_masks (guessed→resolve)
  bev      : after _reclassify_masks_via_bev
  guide    : final _build_local_mask_guidance result
  err      : crosstrack error [m]  (+right / -left of centre)
  hdg      : heading error [deg]
  steer    : commanded steering [deg]  (+right / -left)
  Lcx/Rcx  : BEV x-centroid of left/right mask [px], centre=320
  src      : YOLO source (g=guessed_single, e=explicit_class, etc)

F000045 12:28:13.589 | raw: L(cx=121.2,a=3782,s=gue) R(cx=438.8,a=6100,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.3 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.134m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000046 12:28:13.704 | raw: L(cx=123.6,a=3873,s=gue) R(cx=438.7,a=6019,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.8 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.136m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000047 12:28:13.870 | raw: L(cx=121.2,a=3824,s=gue) R(cx=439.2,a=6236,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.2 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.134m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000048 12:28:14.007 | raw: L(cx=121.0,a=3793,s=gue) R(cx=443.3,a=6571,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=559.0 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.142m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000049 12:28:14.150 | raw: L(cx=121.0,a=3793,s=gue) R(cx=443.3,a=6571,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=559.0 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.147m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000050 12:28:14.290 | raw: L(cx=121.6,a=3767,s=gue) R(cx=439.6,a=6217,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.1 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.144m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000051 12:28:14.434 | raw: L(cx=121.3,a=3815,s=gue) R(cx=439.3,a=6224,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.2 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.141m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000052 12:28:14.569 | raw: L(cx=121.1,a=3786,s=gue) R(cx=439.5,a=6224,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.3 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.138m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000053 12:28:14.720 | raw: L(cx=121.3,a=3778,s=gue) R(cx=439.2,a=6220,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.3 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.137m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000054 12:28:14.851 | raw: L(cx=119.6,a=3764,s=gue) R(cx=439.1,a=6224,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.1 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.137m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000055 12:28:14.995 | raw: L(cx=121.2,a=3793,s=gue) R(cx=439.4,a=6260,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.1 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.137m hdg=+0.0° | OUT steer=-13.8° v=10.0
