# tracking_debug.log — dead reckoning + waypoint state
# Each line: F<idx> | speed_raw=<raw> spd=<m/s> | imu_yaw=<deg> | raw=(<x>,<y>,<yaw>) matched=(<x>,<y>,<yaw>) | wp=<idx>/<total> tgt=<idx> wp_xy=(<x>,<y>) dist=<m> | err=<m> hdg=<deg> mm=<m> latcorr=<m> lane=<0/1> | zone=<attr> | dt=<ms>
F000270 | speed_raw=50.0 spd=10.0cm/s src=manual_command_hold (enc_age=1.1s, cmd_age=0.2s) | imu✓ raw=-21.3° corr=43.1° (offset=64.4°) pitch=0.812 roll=-4.750 (age=0.0s) steer=25.0° | raw=(0.3640,2.4099,97.0°) matched=(0.5126,2.4405,103.2°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.1371m latcorr=+0.0000m raw_lat=+0.1517m lane=1 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.6ms
F000280 | speed_raw=50.0 spd=10.0cm/s src=manual_command_hold (enc_age=1.3s, cmd_age=0.4s) | imu✓ raw=-20.6° corr=43.8° (offset=64.4°) pitch=0.687 roll=-4.750 (age=0.1s) steer=25.0° | raw=(0.3317,2.4244,99.2°) matched=(0.5002,2.4932,101.0°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.1684m latcorr=+0.0000m raw_lat=+0.1785m lane=1 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=21.7ms
F000290 | speed_raw=50.0 spd=10.0cm/s src=manual_command_hold (enc_age=1.5s, cmd_age=0.6s) | imu✓ raw=-19.6° corr=44.7° (offset=64.4°) pitch=0.500 roll=-4.875 (age=0.1s) steer=25.0° | raw=(0.2984,2.4403,101.4°) matched=(0.5002,2.4932,101.0°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.1940m latcorr=+0.0000m raw_lat=+0.2082m lane=1 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.6ms
F000300 | speed_raw=50.0 spd=10.0cm/s src=manual_command_hold (enc_age=1.7s, cmd_age=0.8s) | imu✓ raw=-17.9° corr=46.5° (offset=64.4°) pitch=0.437 roll=-4.875 (age=0.0s) steer=25.0° | raw=(0.2641,2.4560,103.7°) matched=(0.4999,2.4951,101.0°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.2236m latcorr=+0.0000m raw_lat=+0.2389m lane=1 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.6ms
F000310 | speed_raw=50.0 spd=15.0cm/s src=manual_command_hold (enc_age=1.9s, cmd_age=0.2s) | imu✓ raw=-17.2° corr=47.1° (offset=64.4°) pitch=0.375 roll=-4.875 (age=0.1s) steer=25.0° | raw=(0.2264,2.4803,107.0°) matched=(0.4945,2.5229,101.0°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.2554m latcorr=+0.0000m raw_lat=+0.2713m lane=1 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.6ms
F000320 | speed_raw=50.0 spd=15.0cm/s src=manual_command_hold (enc_age=2.1s, cmd_age=0.4s) | imu✓ raw=-15.8° corr=48.6° (offset=64.4°) pitch=0.250 roll=-4.812 (age=0.0s) steer=25.0° | raw=(0.1863,2.5062,110.4°) matched=(0.4900,2.5461,101.0°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.3057m latcorr=+0.0000m raw_lat=+0.3058m lane=1 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.9ms
F000330 | speed_raw=50.0 spd=15.0cm/s src=manual_command_hold (enc_age=2.4s, cmd_age=0.6s) | imu✓ raw=-15.0° corr=49.3° (offset=64.4°) pitch=0.062 roll=-4.875 (age=0.1s) steer=25.0° | raw=(0.1445,2.5310,113.8°) matched=(0.4848,2.5802,98.7°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.3430m latcorr=+0.0000m raw_lat=+0.3438m lane=1 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.6ms
F000340 | speed_raw=50.0 spd=15.0cm/s src=manual_command_hold (enc_age=2.6s, cmd_age=0.8s) | imu✓ raw=-13.6° corr=50.8° (offset=64.4°) pitch=0.125 roll=-4.875 (age=0.0s) steer=25.0° | raw=(0.1300,2.5596,117.1°) matched=(0.4820,2.5983,98.7°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.3529m latcorr=+0.0000m raw_lat=+0.3538m lane=1 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=22.8ms
F000350 | speed_raw=50.0 spd=15.0cm/s src=manual_command_hold (enc_age=2.8s, cmd_age=1.1s) | imu✓ raw=-12.8° corr=51.6° (offset=64.4°) pitch=0.062 roll=-4.875 (age=0.1s) steer=25.0° | raw=(0.1147,2.5877,120.4°) matched=(0.4787,2.6266,96.6°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.3648m latcorr=+0.0000m raw_lat=+0.3661m lane=1 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=21.6ms
F000360 | speed_raw=50.0 spd=15.0cm/s src=manual_command_hold (enc_age=3.0s, cmd_age=1.3s) | imu✓ raw=-11.5° corr=52.9° (offset=64.4°) pitch=0.125 roll=-4.937 (age=0.0s) steer=25.0° | raw=(0.1127,2.6164,123.7°) matched=(0.4761,2.6498,96.6°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.3756m latcorr=+0.0000m raw_lat=+0.3648m lane=1 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.5ms
F000370 | speed_raw=50.0 spd=15.0cm/s src=manual_command_hold (enc_age=3.2s, cmd_age=1.5s) | imu✓ raw=-10.7° corr=53.6° (offset=64.4°) pitch=0.062 roll=-4.937 (age=0.1s) steer=25.0° | raw=(0.1095,2.6436,127.0°) matched=(0.4750,2.6638,94.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.3756m latcorr=+0.0000m raw_lat=+0.3659m lane=1 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.9ms
F000380 | speed_raw=50.0 spd=15.0cm/s src=manual_command_hold (enc_age=3.4s, cmd_age=1.7s) | imu✓ raw=-9.5° corr=54.8° (offset=64.4°) pitch=0.000 roll=-4.875 (age=0.0s) steer=25.0° | raw=(0.0881,2.6713,130.7°) matched=(0.4721,2.7007,92.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.3832m latcorr=+0.0000m raw_lat=+0.3848m lane=1 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.5ms
F000390 | speed_raw=50.0 spd=15.0cm/s src=manual_command_hold (enc_age=3.7s, cmd_age=1.9s) | imu✓ raw=-8.8° corr=55.5° (offset=64.4°) pitch=0.000 roll=-4.875 (age=0.0s) steer=25.0° | raw=(0.0964,2.6965,134.0°) matched=(0.4716,2.7105,92.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.3733m latcorr=+0.0000m raw_lat=+0.3755m lane=1 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=22.3ms
F000400 | speed_raw=50.0 spd=15.0cm/s src=manual_command_hold (enc_age=3.9s, cmd_age=2.1s) | imu✓ raw=-8.1° corr=56.3° (offset=64.4°) pitch=0.000 roll=-4.937 (age=0.1s) steer=25.0° | raw=(0.1036,2.7196,137.3°) matched=(0.4698,2.7512,90.7°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.3656m latcorr=+0.0000m raw_lat=+0.3666m lane=1 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.6ms
